country,area,time,agri_emp,industry_emp,services_emp,agri_value_add,industry_value_add,services_value_add,gdp_growth,gdp_constant,gdp_per_capita_constant,gdp_ppp_constant,urban_population,rural_population,total_population,unemployment_total,unemployment_male,unemployment_female
POL,East Europe,YR2015,0.349799722,0.634810716,0.429780891,0.299617921,0.601589996,0.472077479,0.725228742,0.129069653,0.090332034,0.208165837,0.161120272,0.838879728,0.455069851,0.227990033,0.234924623,0.219431865
POL,East Europe,YR2016,0.318090784,0.676823636,0.430776929,0.326564582,0.573535807,0.474237932,0.627676668,0.133254136,0.09607251,0.227297221,0.158621896,0.841378104,0.45487263,0.172342193,0.183835846,0.158501441
POL,East Europe,YR2017,0.306074774,0.686980576,0.434262969,0.382096829,0.519043457,0.485455047,0.778196022,0.139949308,0.105029066,0.25714695,0.156798081,0.843201919,0.454929881,0.119601329,0.131909548,0.10415809
POL,East Europe,YR2018,0.286048059,0.693905766,0.445717129,0.29361535,0.527655202,0.488264156,0.824810588,0.147481377,0.115462288,0.291917979,0.155623845,0.844376155,0.454928963,0.07641196,0.088777219,0.060518732
POL,East Europe,YR2019,0.270360467,0.708217925,0.449203169,0.290017851,0.501663438,0.521826784,0.770557821,0.154734481,0.124837414,0.324559041,0.155099186,0.844900814,0.454816912,0.052740864,0.054438861,0.050226431
ROU,East Europe,YR2010,1,0.532317583,0,0.734232759,0.968094002,0.116547344,0,0.038684825,0.019396915,0.046283379,0,1,0.240759275,0.205564784,0.244974874,0.156442981
ROU,East Europe,YR2011,0.941588786,0.543397906,0.037599651,0.942446393,1,0,0.517553437,0.039521722,0.022027977,0.05684694,0.003272873,0.996727127,0.239559117,0.214700997,0.252093802,0.16838205
ROU,East Europe,YR2012,0.956608774,0.527239069,0.03510965,0.682425039,0.724052458,0.263553892,0.52954891,0.040637584,0.02482018,0.068057471,0.003622645,0.996377355,0.238477956,0.198504983,0.236180905,0.15232606
ROU,East Europe,YR2013,0.941255,0.530932599,0.044571732,0.798070005,0.705326727,0.266803917,0.683754932,0.042311377,0.029586683,0.087194701,0.002698246,0.997301754,0.237579834,0.211378738,0.250837521,0.161794977
ROU,East Europe,YR2014,0.911214959,0.560480124,0.051045888,0.687108078,0.689548663,0.311642119,0.669296042,0.04398517,0.03436089,0.106362861,0.001773847,0.998226153,0.236677218,0.198920266,0.235762144,0.153149444
ROU,East Europe,YR2015,0.819092122,0.538781082,0.131723118,0.599954289,0.600239836,0.376720412,0.610917287,0.045379998,0.038631909,0.123510752,0.001449058,0.998550942,0.235549304,0.199335548,0.243718593,0.142857143
ROU,East Europe,YR2016,0.735981316,0.60433972,0.158117572,0.580534119,0.601371951,0.446134696,0.766818975,0.047611722,0.045447906,0.150876583,0.001773847,0.998226153,0.23417994,0.16154485,0.203936348,0.107039934
ROU,East Europe,YR2017,0.725300418,0.61542013,0.160109555,0.620921401,0.544176349,0.511244538,1,0.051517239,0.056192017,0.19401356,0.002673262,0.997326738,0.232808123,0.121262458,0.162479062,0.068340881
ROU,East Europe,YR2018,0.709612794,0.611264999,0.174053811,0.623993456,0.511604508,0.529960751,0.746457119,0.054027929,0.063625301,0.223857757,0.004222256,0.995777744,0.231421894,0.090531561,0.125628141,0.045697818
ROU,East Europe,YR2019,0.673898519,0.613111674,0.199701188,0.589486103,0.45461945,0.58280501,0.720945001,0.056259653,0.070803659,0.253055107,0.006370859,0.993629141,0.230185747,0.078903654,0.108458961,0.041169205
